Choice 0,Choice 1,Choice 2,Choice 3,Correct Answer (index),Category,Question,Prize,Round
4,,,,,,,,
Venus,Poseidon,Ares,Zeus,3,Greek Mythology,Which Greek god is known as the King of the gods?,100,1
Mount Rainier,Mount Vesuvius,Mount Olympus,Mount Everest,2,Greek Mythology,What is the name of the mountain where the Greek gods lived?,200,1
Athens,Aegina,Troy,Thebes,0,Greek Mythology,What Greek city is named after Athena?,300,1
Pomegranate,Apple,Cydonian Pome,Fig,0,Greek Mythology,What fruit did Persephone eat to get her stuck in the Underworld?,400,1
Achilles,Hercules,Bellerophon,Perseus,1,Greek Mythology,Which Greek hero is famously known for completing 12 labors?,500,1
King Midas of Midaeum,King Alexander III of Macedonia,King Leonidas of Sparta,King Perseus of Athens,0,Greek Mythology,Who did King of Phrygia grant the power to turn anything to gold with a touch?,100,2
Argus,Empousai,Typhon,Cerberus,3,Greek Mythology,What was the name of the three-headed dog that guarded the entrance of the Underworld?,200,2
Hydra,Cyclops,Chimera,Gorgons,0,Greek Mythology,What was the name of the mythological monster that had nine heads?,300,2
Diamond veil,Apollo's chariot,Golden fleece,Zeus’ lightning bolt,2,Greek Mythology,What item did Jason and the Argonauts obtain to achieve immortal glory?,400,2
A polished shield,Ares’ magic sword,Helmet of invisibility,Winged sandals,0,Greek Mythology,What weapon did Perseus use to defeat the Gorgon named Medusa?,500,2
United States,United Kingdom,Germany,China,0,Sports,What country has the most Olympics gold medals ?,100,1
Lebron James,Michael Jordan,Bill Russel,Magic Johnson,2,Sports,Who has the most NBA rings?,200,1
Green Bay Packer,New England Patriots,Seattle Seahawks,Miami Dolphins,1,Sports,What football team has the most NFL rings?,300,1
4,3,9,6,3,Sports,How many fouls can an NBA player commit before being disqualified?,400,1
Jets,Cowboys,Dolphins,Bills,3,Sports,Which NFL team appeared in four consecutive Super Bowls from 1991 – 1994 and lost them all?,500,1
Naseem Hamed,Marvin Hagler,Lennox Lewis,Evander Holyfield,0,Sports,Which of these boxers took his style from their prior fencing experience?,100,2
Micheal Phelps,Carel Lewis,Sawao Kato,Usain Bolt,0,Sports,Which athlete has the most won gold olympic medals?,200,2
Jon Jones,Stipe Miocic,Connor McGregor,Rose Namajunas,2,Sports,Who was the first person in the UFC to hold 2 belts simultaneously?,300,2
Manny Pacquiao,Antonio Margarito,Terence Crawford,Vasyl Lomachenko,1,Sports,Which boxer infamously put plaster in their gloves?,400,2
Football,Baseball,Soccer,Tennis,2,Sports,What's the most popular sport in the world?,500,2
Sound Travels Faster Than Light,Too Much Electrical Charge,Because of the Dark Lightning Phenomenon ,Light Travels Faster Than Sound,0,Science,Why do you often see lightning before you hear the thunder?,100,1
Barometer,Hygrometer,Anemometer,Thermometer,2,Science,Which tool is used to measure wind speed?,200,1
Venus,Mercury,Neptune,Jupiter,1,Science,Which planet is closest to the sun?,300,1
The Poles,The Sun,The Wind,The Moon,3,Science,What causes tides?,400,1
71%,68%,81%,93%,0,Science,What percentage of Earth is water?,500,1
Carbon Dioxide,Oxygen,Nitrogen,Argon,2,Science,What makes up 78% of the Earth’s atmosphere?,100,2
1971,1969,1942,1958,1,Science,What year did the first man walk on the moon?,200,2
201,208,206,211,2,Science,How many bones are in the human body?,300,2
Fish,Beaver,Plant,Raccoon,3,Science,What is a coatimundi?,400,2
They use more energy,If one goes out they all go out,Greater fire hazard,Harder to program,1,Science,Christmas tree lights are often connected in series. This is not a good idea because:,500,2
Kamet,Mount Everest,K2,Broad Peak,1,Geography,What is the tallest mountain in the world?,100,1
China,Brazil,India,United States of America,0,Geography,What country has the largest population size?,200,1
Germany,Russia,France,Poland,2,Geography,What country has the most time zones?,300,1
Athens,Jerusalem,Damascus,Rome,2,Geography,What city has been inhabited the longest?,400,1
Europe,Asia,South America,Africa,3,Geography,What continent is in all four hemispheres?,500,1
Mariana Trench,Philippine Trench,Tonga Trench,Kermadec Trench,0,Geography,What is the world's deepest location?,100,2
Europe,Asia,Antarctica,Africa,1,Geography,What is the Earth’s largest continent?,200,2
United States,Australia,Canada,India,2,Geography,What country has the most lakes?,300,2
Celebes Sea,Mediteranian Sea,Adriatic Sea,Sargasso Sea,3,Geography,What Sea has no coasts?,400,2
Egypt,Sudan,Libya,Algeria,1,Geography,What country has the most pyramids?,500,2
